#header
Geneid	Chr	Start	End	Strand	Length	bamfiles/Wt1-1a_1415.bam	bamfiles/Wt1-1b_1415.bam	bamfiles/Wt1-1c_1415.bam	bamfiles/Wt1-2a_1415.bam	bamfiles/Wt1-2b_1415.bam	bamfiles/Wt1-3a_1415.bam	bamfiles/Wt1-3b_1415.bam	bamfiles/Wt1-3c_1415.bam	bamfiles/Wt1-4a_1415.bam	bamfiles/Wt1-4b_1415.bam	bamfiles/Wt1-4c_1415.bam	bamfiles/Wt1-5a_1415.bam	bamfiles/Wt1-5b_1415.bam	bamfiles/Wt1-5c_1415.bam	bamfiles/Wt1-6b_1415.bam	bamfiles/Wt1-6c_1415.bam	bamfiles/Wt2-1a_1415.bam	bamfiles/Wt2-1b_1415.bam	bamfiles/Wt2-1c_1415.bam	bamfiles/Wt2-2b_1415.bam	bamfiles/Wt2-2c_1415.bam	bamfiles/Wt2-3a_1415.bam	bamfiles/Wt2-3b_1415.bam	bamfiles/Wt2-3c_1415.bam	bamfiles/Wt2-4a_1415.bam	bamfiles/Wt2-5a_1415.bam	bamfiles/Wt2-5b_1415.bam	bamfiles/Wt2-5c_1415.bam	bamfiles/Wt2-6a_1415.bam	bamfiles/Wt2-6b_1415.bam	bamfiles/Wt2-6c_1415.bam
pdam_00000280	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	257991;258526;258746;259840;260295;260937;261681;262031;262483;263315;265543	258412;258659;258831;259957;260363;261170;261746;262112;262736;265516;265998	+;+;+;+;+;+;+;+;+;+;+	4123	1428	1374	1517	1058	1117	970	1092	843	1249	1069	1414	1090	2156	2059	1847	1941	2751	1537	1106	120	986	821	1168	931	1257	2099	1798	930	2071	1406	1600
pdam_00000281	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	266448;268136;268327;269298	267849;268251;268500;269590	-;-;-;-	1985	81	72	75	28	63	30	48	42	50	37	70	50	84	100	78	86	100	84	47	2	49	35	34	16	53	79	99	42	84	74	45
pdam_00000282	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	269673;269833;270414;271807	269757;269957;270546;272202	+;+;+;+	739	53	42	58	32	61	49	78	62	48	49	51	52	103	106	150	144	161	79	63	6	52	125	56	62	32	126	104	135	118	113	113
pdam_00000283	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	273580;274947;275558;276660;278208;279621;280078;280601;281043;281260;281433;281890;282565;283199;284252;284849	273732;275082;275734;276761;278263;279751;280160;280788;281108;281325;281567;282003;282716;283319;284525;285405	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2511	1	2	2	2	0	0	4	1	1	0	1	3	4	3	5	4	3	1	1	0	3	3	4	4	4	3	1	4	9	2	8
pdam_00000284	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	286623;288119;289009;289374;290919;291073;291954;292424;292871;293419;294152;294785;295340;296030;296918;297806;298205;298627;298930	287284;288392;289129;289642;290984;291138;292141;292506;292998;293474;294299;294858;295441;296203;296965;297887;298606;298903;299269	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3560	20	16	18	5	15	18	38	17	9	19	11	37	85	45	86	36	147	39	18	3	14	25	84	106	87	94	55	36	176	99	161
pdam_00000285	SczhEnG_1415	313988	315061	-	1074	55	42	65	35	29	89	31	44	56	34	41	68	78	107	65	105	114	29	94	3	173	34	77	49	48	62	78	55	90	114	92
pdam_00000286	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	323404;324700;332127;332364;332530;332708;332991;335751;336339;337036;337561;337679;340166;340963;341702;342228	323414;327827;332230;332483;332685;332857;333050;335894;336561;337179;337592;338119;340426;341076;341805;342417	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5382	430	273	457	191	520	226	319	312	372	257	267	268	514	516	431	600	914	558	371	65	395	291	317	318	275	703	596	332	773	637	572
pdam_00000287	SczhEnG_1415	338273	339346	+	1074	27	18	30	9	19	16	11	16	8	17	14	11	32	38	33	40	51	20	23	4	4	20	17	13	22	34	28	27	34	32	37
pdam_00000288	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	342415;342697;343526;344996;345578	342450;342792;343698;345124;345709	+;+;+;+;+	566	446	389	441	243	445	257	276	497	280	253	335	430	673	443	734	634	912	496	637	42	429	383	309	307	423	497	771	442	719	651	749
pdam_00000289	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	346393;347031;347412;348083	346650;347360;347454;348267	-;-;-;-	816	75	76	73	50	65	55	59	81	74	72	81	57	105	105	137	143	145	84	62	7	20	44	60	45	67	98	121	52	154	102	105
pdam_00000290	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	348860;349209;350116;350911;358522	348998;349317;350170;351260;358600	-;-;-;-;-	732	1	1	2	0	0	1	0	1	3	4	5	0	5	4	3	1	2	0	1	0	0	1	0	1	1	0	2	3	1	0	1
pdam_00000291	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	349061;350914;351563;352436;352601;356253;356932;357163;357597;358413	349785;351405;351641;352467;352635;356449;357027;357311;357642;359684	+;+;+;+;+;+;+;+;+;+	3123	658	545	574	285	315	340	308	307	398	295	424	428	904	664	828	599	1067	593	524	53	358	375	389	296	470	583	667	430	676	456	684
pdam_00000292	SczhEnG_1415	362703	363869	+	1167	0	0	0	0	1	0	1	1	0	2	2	0	2	1	0	3	5	3	0	0	0	0	1	2	2	2	0	0	4	2	5
pdam_00000293	SczhEnG_1415	368546	369637	+	1092	21	27	23	11	11	29	31	17	24	28	21	34	34	41	25	46	38	31	22	1	5	25	36	31	30	59	35	36	48	35	32
pdam_00000294	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	372666;373064;373494;374180	372742;373118;373687;374402	-;-;-;-	549	87	61	84	39	85	38	46	68	44	35	42	64	109	87	126	105	162	96	83	4	79	78	45	44	53	98	108	83	97	106	81
pdam_00000295	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	374498;374720;375096;375500;375789;376662;377497	374590;374785;375169;375593;375984;376752;377608	+;+;+;+;+;+;+	726	62	49	69	28	46	44	40	47	39	36	37	39	77	82	82	96	117	62	52	5	78	56	63	63	46	67	85	65	106	89	84
pdam_00000296	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	379586;381103;381434;382233;382874;383600	380574;381230;381541;382349;382948;383665	-;-;-;-;-;-	1483	1490	1175	1397	789	1009	982	1244	1144	866	775	877	865	2209	1814	2082	1830	2628	1505	1170	127	801	1193	1050	890	854	1987	2033	1315	1738	1308	1477
pdam_00000297	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	383748;384929;385816;386056;386269;386502;387220;387848;388513;389297;389676;389937;390278;390481;390825	384034;385133;385882;386111;386340;386521;387279;387944;388652;389374;389739;390015;390331;390511;391990	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2476	301	333	367	211	254	288	379	209	274	336	389	290	605	559	510	510	846	459	283	27	155	262	364	378	390	618	448	273	616	413	534
pdam_00000298	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	392754;393558;393807;394246;394818;395557;395737;396351;396583;396709	392972;393684;393886;394360;394910;395620;395799;396451;396615;396784	-;-;-;-;-;-;-;-;-;-	971	949	749	951	618	891	666	586	1078	693	695	804	831	1210	1316	1341	1384	1677	726	690	85	930	435	684	636	831	1127	1509	481	1320	1089	1168
pdam_00000299	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	398757;402668;403467	402108;402728;403649	-;-;-	3596	420	292	454	171	391	290	295	384	329	296	296	349	454	614	482	659	737	503	437	45	447	220	405	412	359	527	603	239	789	522	522
pdam_00000300	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	403627;406049;406965;408637	403988;406465;407172;410467	+;+;+;+	2818	207	218	239	141	193	157	207	169	178	140	190	180	320	309	222	281	402	260	189	24	179	175	194	156	195	321	293	190	322	204	292
pdam_00000301	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	415230;417212;417647	416728;417295;418054	+;+;+	1991	17	10	6	3	17	4	23	13	6	42	21	8	55	37	26	84	54	57	3	9	2	52	58	44	17	100	31	57	106	58	93
pdam_00000302	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	419728;419895;420759;421439;422163;423351;424130;424689;424995;425631	419805;419954;420865;421482;422282;423428;424225;424766;425025;426414	+;+;+;+;+;+;+;+;+;+	1476	111	131	130	73	117	82	71	126	80	87	107	102	166	171	164	163	222	124	137	10	102	71	93	82	107	126	228	92	196	144	151
pdam_00000303	SczhEnG_1415	429495	429923	+	429	181	161	153	57	164	71	113	92	93	47	82	101	217	181	184	183	308	207	166	17	123	55	96	90	108	172	150	96	195	142	150
pdam_00000304	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	434816;435510;440690;441184;441728;442119;442728;443176;443656;444406;445196	435371;435725;440806;441330;441811;442235;442970;443379;443912;444538;446694	+;+;+;+;+;+;+;+;+;+;+	3573	3325	2014	2510	1030	1891	1103	861	1021	2624	986	1564	1840	2987	2326	3789	2813	3270	1708	2588	245	2711	1282	1201	1116	1493	1737	2565	1647	2306	2381	2217
pdam_00000305	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	452662;453509;453980	452880;453616;454213	-;-;-	561	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pdam_00000306	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	454961;456454;457277;458250;460326;461041	455538;456951;457404;458422;460648;461080	+;+;+;+;+;+	1740	164	132	159	96	146	114	138	177	106	103	102	153	251	198	242	283	363	187	200	26	188	161	140	87	140	202	264	160	274	193	243
pdam_00000307	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	461681;462216;462537;463194;463683;464071;464909;465856;466235;466762;467503	462000;462351;462674;463369;463827;464208;465092;465977;466299;467033;467594	-;-;-;-;-;-;-;-;-;-;-	1788	99	107	74	49	227	85	104	159	81	124	137	79	135	262	156	242	184	130	68	10	21	63	67	85	24	198	174	67	192	217	118
pdam_00000308	SczhEnG_1415;SczhEnG_1415	469206;469433	469365;469902	+;+	630	4	4	4	1	14	1	6	1	6	2	5	2	6	16	1	13	21	20	5	1	3	10	1	6	8	25	15	7	17	7	10
pdam_00000309	SczhEnG_1415	469957	470265	+	309	18	9	9	9	48	3	10	5	21	16	11	2	7	17	8	28	14	15	1	1	1	0	4	6	4	24	18	4	26	9	9
pdam_00000310	SczhEnG_1415	472598	472858	+	261	0	1	2	0	2	0	1	0	0	0	0	1	1	1	2	1	2	7	1	1	0	0	3	3	3	4	1	0	5	2	6
pdam_00000311	SczhEnG_1415;SczhEnG_1415	472888;476147	474119;477800	+;+	2886	133	140	216	31	427	62	116	53	145	154	135	117	331	178	224	205	705	574	98	58	165	125	130	196	148	579	357	162	529	224	304
